locationName,streetAddress,city,state,postalCode,lat,lng,phoneNumber,storeID
Gates of Prosper,1140 S Preston Rd Ste 10,Prosper,Texas,75078,33.2237329,-96.7995171,945-207-1286,6211
Berkshire,6109 Berkshire Ln Ste A,Dallas,Texas,75225,32.8650085,-96.8060218,945-279-0912,6206
Conroe,247 S Loop 336 W Ste 700,Conroe,Texas,77304,30.278099,-95.461601,936-444-4601,6008
Lake Jackson,401-A This Way,Lake Jackson,TX,77566,29.0393388,-95.4563921,979-480-1223,5798
Montfort ,15125 Montfort Road,Dallas,TX,75254,32.955654,-96.818996,469-885-8080,5176
Park District - Petite Market & Bakery,2100 Olive Street Suite 150,Dallas,TX,75201,32.791379,-96.802290,972-913-2280,4691
McKinney,3625 West University Drive,McKinney,TX,75071,33.216663,-96.659664,469-581-1300,4673
Spring ,6805 N Grand Parkway Suite 805,Spring,TX,77389,30.088557,-95.520159,346-298-6390,2687
Connecticut Ave. ,1130 Connecticut Ave. NW  Suite 100,Washington ,DC ,20036 ,38.904788,-77.041287,202-780-9988,2537
Tierra Del Este,3440 Joe Battle Blvd.  Suite 102,El Paso ,Texas,79938,31.793652,-106.267631,915-229-2700,2483
Atlanta Airport Kiosk Terminal C Gate 40,6000 N. Terminal Parkway Terminal C Gate 40,Atlanta,GA,30320,33.6407764,-84.4443259,404-761-7222,1672
Atlanta Airport Kiosk - Terminal C Gate 7,"6000 N. Terminal Parkway Terminal C, Gate 7",Atlanta,GA,30320,33.641343,-84.432607,404-761-7222,2441
Sawyer Heights,2423 Katy Freeway Suite E,Houston,TX,77007,29.7763158,-95.3824319,832-916-4001,2301
Waco,2816 Marketplace Drive Suite 101,Waco,TX,76711,31.497103,-97.151468,254-262-3171,1950
Tysons Corner,7960 Tysonâ€™s Corner Center,McLean,VA,22102,38.9177638,-77.2214601,703-962-1264,1746
The Met,3615 West Chandler Blvd Suite 7,Chandler,AZ,85226,33.3055015,-111.9044728,480-999-2095,1742
Reston,1833 Fountain Drive,Reston,VA,20190,38.9608096,-77.3565718,703-707-0704,1730
Presidio Junction,8825 N Fwy Service Rd E Suite 109,Ft. Worth,TX,76177,32.8999576,-97.3188303,682-593-5605,1728
Phoenix Sky Harbor International Airport,3400 E. Sky Harbor Blvd. Terminal 4 Gate B20,Phoenix,AZ,85034,33.4354519,-111.997967,602-275-6582,1724
Perimeter,1165 Perimeter Center West Ste 330,Atlanta,GA,30338,33.929446,-84.347979,770-392-0516,1722
Millenia Mall,4175 Millenia Boulevard,Orlando,FL,32839,28.489575,-81.431158,321-332-7001,1712
La Villita,6801 N. Mesa Street,El Paso,TX,79912,31.8342528,-106.5463302,915-845-9808,1751
First Colony,2675 Town Center Boulevard,Sugarland,TX,77479,29.5883334,-95.6287228,281-494-4400,1692
Elmwood,1200 S. Clearview Pkwy Suite 1314,Harahan,LA,70123,29.962319,-90.187792,504-818-2450,1690
Fountains at Farrah,8889 Gateway Blvd. West Suite 1400,El Paso,TX,79925,31.77025,-106.371365,915-225-3660,1689
East Cobb,4101 Roswell Road Suite 812,Marietta,GA,30062,33.981535,-84.432865,770-579-3040,1688
DFW,3200 E. Airfield Drive Terminal A Gate A25,Dallas,TX,75261,32.900746,-97.040142,972-426-5210,1686
Dallas Love Field,8008 Cedar Springs Rd. Terminal 2 Gate 6,Dallas,TX,75235,32.82966,-96.8511,214-358-7614,1685
Columbia,6211 Columbia Crossing,Columbia,MD,21045,39.1968249,-76.815916,410-872-4900,1683
Collin Creek,520 W. 15th Street,Plano,TX,75075,33.018628,-96.71199399999999,972-398-3003,1682
Buford,1795 Mall of Georgia Boulevard,Buford,GA,30519,34.06169200000001,-83.991745,470-589-1528,1675
Bethesda,7607 Old Georgetown Road,Bethesda,MD,20814,38.98596209999999,-77.09575459999999,301-215-9142,1674
Bailey's Crossroads,5861 Crossroads Center Way,Bailey's Crossroads,VA,22041,38.852218,-77.13014199999999,703-379-5551,1673
Gwinnett,2255 Pleasant Hill Road Suite 480,Duluth,GA,30096,33.961925,-84.138955,770-814-0355,1697
Houston Galleria,5015 Westheimer Road Suite 1420,Houston,TX,77056,29.7389671,-95.4631205,713-993-0287,1698
Kingsgate,8201 Quaker Avenue Suite 118,Lubbock,TX,79424,33.5185839,-101.9037042,806-698-6313,1701
West Little Rock,12210 W. Markham Drive,Little Rock,AR,72211,34.7551578,-92.410792,501-221-7777,1706
Mandeville,3434 Highway 190,Mandeville,LA,70471,30.4729721,-90.08642139999999,985-626-7004,1709
Tanglewood,5885 San Felipe Street Suite 100,Houston,TX,77057,29.74956599999999,-95.484382,832-726-1315,1740
Tyler,419 WSW Loop 323,Tyler,TX,75701,32.3037245,-95.3058981,903-258-9050,1745
Tulsa Hills,8115 S. Olympia Avenue West,Tulsa,OK,74107,36.0453828,-96.00366819999999,918-289-0348,1744
Town & Country,770 W. Sam Houston Parkway N. Suite 100,Houston,TX,77024,29.776384,-95.5619181,713-465-7370,1743
The Forum,8134 Agora Parkway Suite 100,Live Oak,TX,78154,29.565123,-98.328689,210-306-2922,1741
Sunset Valley,5493 Brodie Lane,Austin,TX,78745,30.229638,-97.81963599999999,512-287-4081,1739
South Arlington,4201 S. Cooper Street Suite 731,Arlington,TX,76015,32.678641,-97.13438,817-417-5100,1738
Shops at Martial,2207-I Kaliste Saloom Road,Lafayette,LA,70508,30.1638488,-92.0400909,337-504-7369,1737
Severn,3300 Severn Suite 201,Metairie,LA,70002,30.0095891,-90.15962999999999,504-456-1624,1736
San Tan Village,2156 E. Williams Field Rd. Suite 101,Gilbert,AZ,85296,33.3088639,-111.7434401,480-485-8490,1734
San Jacinto,2100 Ross Avenue Suite 120,Dallas,TX,75201,32.7875067,-96.7975695,214-220-3911,1733
Rockwall,987 East I-30,Rockwall,TX,75087,32.903585,-96.453824,972-722-6650,1732
River Oaks,2047-A West Gray,Houston,TX,77019,29.7524194,-95.410356,713-526-9666,1731
Preston Forest,11930 Preston Road Suite 100,Dallas,TX,75230,32.9114309,-96.8029071,972-233-6446,1729
Plano,5000 W. Park Boulevard Suite 100,Plano,TX,75093,33.0269127,-96.7962278,972-407-1878,1726
Alamo Heights,4820 Broadway,San Antonio ,TX,78209,29.4617383,-98.4673103,210-829-7291,1460
Uptown,2110 Louisiana Blvd. NE,Albuquerque,NM,87110,35.1000476,-106.5684202,505-274-7555,1487
Alexandria,500 King Street,Alexandria,VA,22314,38.8046307,-77.04495159999999,703-739-2854,1668
Allen,810 W. McDermott Drive,Allen,TX,75013,33.10242,-96.6814801,972-338-4927,1669
Arboretum,9828 Great Hills Trail Suite 650,Austin,TX,78759,30.395668,-97.747169,512-502-2474,1670
Camp Bowie,6140 Camp Bowie,Ft. Worth,TX,76116,32.7289868,-97.415673,817-654-0471,1676
Carillon,10001 Westheimer Road Suite 2123,Houston,TX,77042,29.7365189,-95.55185019999999,713-266-7686,1677
Carrollton,601 S. Carrollton Avenue,New Orleans,LA,70118,29.9430657,-90.1336857,504-861-8662,1678
Champions,5505-A FM 1960,Houston,TX,77069,29.9793086,-95.5122889,281-893-0723,1679
Clearlake,929 West Bay Area Boulevard,Webster,TX,77598,29.5419853,-95.1372832,281-316-6135,1680
Coit & Campbell,1320 W. Campbell,Richardson,TX,75080,32.9787503,-96.765334,972-671-4887,1681
Crossroads,19710 Northwest Freeway (290) Suite 100,Houston,TX,77065,29.9155169,-95.6139985,281-720-1000,1684
Downtown Crown,242 Crown Park Avenue,Gaithersburg,MD,20878,39.1142231,-77.2046641,240-449-4879,1687
Flower Mound,2500 Cross Timbers Road Suite 150,Flower Mound,TX,75028,33.0360001,-97.0672809,469-240-5888,1694
Frisco,8008 State Hwy 121 Suite 100,Frisco,TX,75034,33.094091,-96.81577899999999,972-704-2000,1695
Grapevine,900 W. State Highway 114,Grapevine,TX,76051,32.9253627,-97.0867135,817-251-0255,1696
Huebner Oaks,11745 Hwy. 10 West Suite 101,San Antonio,TX,78230,29.5481138,-98.5826213,210-691-1227,1699
Jefferson,7615 Jefferson Highway,Baton Rouge,LA,70809,30.430584,-91.10863930000001,225-927-6072,1700
Kingstowne,5876 Kingstowne Center Suite 100,Alexandria,VA,22315,38.7722965,-77.1368463,571-385-2455,1702
Kingwood,4570 Kingwood Drive,Kingwood,TX,77345,30.0501376,-95.1822519,281-360-1681,1703
Lakeline,14028 N. US Hwy 183 Suite 210,Austin,TX,78717,30.4768398,-97.8039234,512-410-7535,1704
Luhrs City Center,45 West Jefferson Street Suite M,Phoenix,AZ,85003,33.4469011,-112.0748081,480-436-8152,1707
MacArthur,6430 North MacArthur Boulevard,Irving,TX,75039,32.8964907,-96.9581147,469-385-1700,1708
Meyerland,4700 Beechnut Suite 620,Houston,TX,77096,29.6887822,-95.4601048,713-218-8075,1710
Midway,4343 W. Northwest Hwy Suite 365,Dallas,TX,75220,32.8647917,-96.8358536,214-357-5621,1711
Mockingbird,3072 Mockingbird Lane,Dallas,TX,75205,32.8371926,-96.7812095,214-696-0800,1713
Mueller,"1201  Barbara Jordan Boulevard Bldg 11, Ste 100",Austin,TX,78723,30.30634989999999,-97.70914520000001,512-366-3825,1714
North Arlington,2101 N. Collins,Arlington ,TX,76011,32.7675182,-97.0967026,817-461-3634,1715
Northpark,8687 N. Central Expressway,Dallas,TX,75225,32.8685382,-96.7735105,214-696-2398,1716
Northwoods,18030 US Hwy 281 N,San Antonio,TX,78232,29.6045701,-98.46898170000001,210-499-0208,1717
Overton Park,4626 SW Loop 820,Ft. Worth,TX,76109,32.683295,-97.39303190000001,817-717-5200,1718
Park North,722 NW Loop 410 Suite 201,San Antonio,TX,78216,29.5197445,-98.5045282,210-979-9161,1719
Parkway Village,1560 Eldridge Parkway Suite 190,Houston,TX,77077,29.75669359999999,-95.6279395,281-940-8516,1720
Pearland,11200 Broadway Street Suite 1600,Pearland,TX,77584,29.5519046,-95.3943803,832-916-3598,1721
Perkins Rowe,7707 Bluebonnet Boulevard Suite 190,Baton Rouge,LA,70810,30.3796417,-91.09615370000002,225-766-1875,1723
West Grand,23322 Mercantile Parkway,Katy,TX,77449,29.79027159999999,-95.7756095,281-395-2888,1752
Woodlands,9595 Six Pines Drive Suite 100,The Woodlands,TX,77380,30.1643351,-95.4615408,281-419-5826,1753
Norman,1954 24th Avenue NW,Norman,OK,73069,35.24203850000001,-97.4830229,405-416-1942,1748
